# Cycle-heavy n=100
# n=100
1 13
1 82
1 4
1 45
1 99
1 18
1 67
1 31
1 89
1 9
1 71
1 35
1 96
2 5
2 97
2 20
2 84
2 4
2 75
2 15
2 92
2 13
2 85
3 13
3 97
3 32
3 88
3 4
3 89
4 23
4 6
4 20
4 26
4 95
4 36
5 41
5 28
5 83
6 22
6 99
6 39
6 50
6 86
8 28
8 89
9 16
10 24
10 77
10 17
10 96
10 12
10 97
10 16
10 86
10 26
10 64
11 36
11 51
11 20
11 81
12 37
13 14
13 20
13 19
14 45
14 16
14 88
15 30
15 19
15 84
16 20
16 26
16 99
16 34
16 40
16 29
16 98
17 68
17 98
17 19
18 62
18 74
18 42
19 68
19 36
19 41
19 96
19 25
20 37
20 34
20 48
20 32
20 46
20 68
20 81
21 30
21 68
21 23
21 89
22 24
22 34
22 94
22 42
22 92
23 24
23 34
24 30
24 29
24 45
24 31
24 95
25 44
25 96
25 81
26 30
26 28
26 29
28 29
28 34
29 70
29 48
29 34
29 46
30 76
30 95
30 31
30 44
30 54
30 53
30 65
30 84
31 40
31 59
31 61
32 54
32 55
32 39
32 98
34 47
34 63
34 38
34 61
34 50
34 42
35 77
36 39
36 45
36 37
37 39
37 46
37 96
37 50
37 87
38 42
38 78
38 74
39 51
39 40
39 44
39 54
40 77
40 55
40 44
41 89
41 44
42 45
42 43
42 76
43 45
43 67
44 57
44 50
44 62
44 49
44 61
45 54
45 51
45 63
45 48
46 76
46 97
46 47
46 79
46 70
46 68
46 64
47 88
47 54
47 62
48 58
48 68
48 49
49 56
49 63
50 63
50 55
50 80
50 86
50 74
50 58
51 63
53 71
54 58
54 68
54 62
54 64
54 78
55 57
55 70
55 64
56 85
57 73
57 61
58 60
58 68
58 82
59 64
60 68
61 68
61 74
61 71
61 73
62 63
62 79
62 70
62 71
63 80
63 75
63 83
63 92
63 69
63 84
64 78
64 95
64 81
65 84
68 78
68 90
68 72
68 71
68 98
68 73
69 83
69 70
69 73
70 80
70 74
70 79
70 73
71 74
71 93
71 76
72 75
73 84
73 74
73 90
73 91
74 77
74 96
74 78
74 89
74 97
75 91
76 97
76 77
76 84
76 92
77 81
77 80
77 79
78 97
78 89
78 98
79 80
79 82
80 99
80 82
80 89
81 88
81 85
81 84
82 83
82 96
83 99
83 84
84 86
84 89
84 96
85 88
87 89
88 95
89 97
89 92
90 92
90 96
91 92
92 99
92 94
92 98
92 93
93 95
93 96
