# Cycle-heavy n=50
# n=50
0 5
0 47
0 1
0 42
0 48
1 8
1 38
1 2
1 13
1 39
2 5
2 43
2 20
2 40
2 21
2 46
2 6
3 7
3 34
3 5
3 49
4 32
4 43
4 10
4 45
4 5
4 42
5 11
5 48
5 6
5 49
5 26
5 8
5 21
6 21
6 8
7 8
7 13
7 23
7 16
7 47
7 10
7 49
8 9
8 10
8 23
8 12
8 41
8 42
8 27
8 49
9 11
9 44
9 20
10 13
10 22
10 35
10 46
10 14
10 45
10 21
10 15
11 15
11 20
12 38
13 19
13 18
13 14
13 49
14 24
14 15
15 28
15 37
15 21
16 22
18 23
18 22
19 23
20 32
20 23
20 25
21 26
21 22
21 41
21 27
21 29
22 27
22 36
22 32
22 30
22 37
23 25
23 32
23 46
23 28
24 31
25 33
25 39
26 32
26 28
27 40
27 28
27 49
28 32
28 30
28 41
29 42
30 41
30 38
30 32
31 37
32 43
32 37
32 38
32 42
32 46
32 33
32 45
33 34
33 39
35 46
36 46
37 49
37 42
37 45
37 38
37 39
38 43
38 49
39 40
39 45
40 43
41 43
41 42
42 44
42 49
42 45
43 48
43 45
45 47
45 46
46 48
