source_file,family,category,status,fvs_size,timestamp,feature_set
real_000000.txt,undirected,real_world,completed,7,2026-04-02T17:59:06.595853,v1
real_000001.txt,undirected,real_world,completed,10,2026-04-02T17:59:07.044801,v1
ba_000000.txt,undirected,scale_free,completed,3,2026-04-02T17:59:07.078103,v1
ba_000001.txt,undirected,scale_free,completed,3,2026-04-02T17:59:07.112538,v1
ws_000000.txt,undirected,small_world,completed,6,2026-04-02T17:59:07.149685,v1
ws_000001.txt,undirected,small_world,completed,10,2026-04-02T17:59:08.353554,v1
er_000000.txt,undirected,random_er,completed,10,2026-04-02T17:59:08.939631,v1
er_000001.txt,undirected,random_er,completed,9,2026-04-02T17:59:09.043533,v1
grid_000000.txt,undirected,grids_trees,completed,6,2026-04-02T17:59:09.091107,v1
tree_000001.txt,undirected,grids_trees,completed,0,2026-04-02T17:59:09.120786,v1
ego_000000.txt,directed,real_world_ego,completed,6,2026-04-02T17:59:09.156049,v1
ego_000001.txt,directed,real_world_ego,completed,6,2026-04-02T17:59:09.188234,v1
ego_000002.txt,directed,real_world_ego,completed,0,2026-04-02T17:59:09.218018,v1
scale_free_000000.txt,directed,scale_free,completed,1,2026-04-02T17:59:09.249061,v1
scale_free_000001.txt,directed,scale_free,completed,1,2026-04-02T17:59:09.280450,v1
er_000000.txt,directed,random_er,completed,2,2026-04-02T17:59:09.309728,v1
er_000001.txt,directed,random_er,completed,7,2026-04-02T17:59:09.365542,v1
dgrid_000000.txt,directed,directed_grids,completed,1,2026-04-02T17:59:09.396275,v1
dag_000000.txt,directed,dags,completed,0,2026-04-02T17:59:09.426312,v1
